Processes,Time
1,0.006822
2,0.003426
3,0.002621
4,0.002146
5,0.002242
6,0.002044
7,0.002049
8,0.002192
9,0.001920
10,0.001847
11,0.001947
12,0.001833
13,0.002080
14,0.001808
15,0.001986
16,0.001862
17,0.002021
18,0.002605
19,0.001948
20,0.002022
